rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
201703017101237,NRCH,,05:00,,,05:00,,,,,,,,,,,,05:00,120,
201703017101237,NRCHTPJ,,,,05:01,,,,,05:01,,,,,,,,,120,
201703017101237,TRWSSBJ,,,,05:01:30,,,,,05:01,,,,,,,,,120,
201703017101237,TROWSEJ,,,,05:02:30,,,,,,,,,,,,05:02,,120,
201703017101237,DISS,05:17,05:18,05:16:30,,05:18,,,,,,,,,,05:16,,05:18,120,
201703017101237,HAGHLYJ,,,,05:26:30,,,,,,,,,,,,05:27,,120,
201703017101237,STWMRKT,05:29,05:30,05:29,,05:30:30,,,,,,,,,,05:30,,05:30,120,
201703017101237,IPSWEPJ,,,,05:39,,,,,05:38,,,,,,,,,120,
201703017101237,IPSWESJ,,,,05:40,,,,,,,,,,,,05:39,,120,
201703017101237,IPSWICH,05:42,05:44,05:42,,05:44,,,,,,,,,,05:41,,05:43,120,
201703017101237,IPSWHJN,,,,05:46,,,,,,,,,,,,05:45,,120,
201703017101237,STFD,06:44,,06:44,,06:45,,,,,,,,,,,,,120,120
201703017101237,LIVST,06:54,,06:54,,,,,,,,,,,,,,,120,120
201703017101237,MANNGTR,05:53,05:54,05:53,,05:54:30,,,,,,,,,,07:37,,07:44,120,120
201703017101237,CLCHSTR,06:03,,06:03,,,,,,,,,,,,07:54,,,120,120
201703017101243,NRCH,,05:30,,,05:30,,,,,,,,,,,,05:30,,
201703017101243,NRCHTPJ,,,,05:31,,,,,05:31,,,,,,,,,,
201703017101243,TRWSSBJ,,,,05:31:30,,,,,05:31,,,,,,,,,,
201703017101243,TROWSEJ,,,,05:32:30,,,,,,,,,,,,05:33,,,
201703017101243,DISS,05:47,05:48,05:46:30,,05:48,,,,,,,,,,05:48,,05:50,,
201703017101243,HAGHLYJ,,,,05:56:30,,,,,,,,,,,,05:59,,,
201703017101243,STWMRKT,05:59,06:00,05:59,,06:00:30,,,,,,,,,,06:02,,06:04,,
201703017101243,IPSWEPJ,,,,06:09,,,,,06:11,,,,,,,,,,
201703017101243,IPSWESJ,,,,06:10,,,,,,,,,,,,06:16,,,
201703017101243,IPSWICH,06:12,,06:12,,,,,,,,,,,,06:18,,,,
